time, L
0.2252,1.5698
0.2254,1.524
0.2256,1.524
0.2258,1.5698
0.226,1.5545
0.2262,1.524
0.2264,1.5851
0.2266,1.5545
0.2268,1.5698
0.227,1.5545
0.2272,1.6004
0.2274,1.6004
0.2276,1.5392
0.2278,1.5392
0.228,1.5851
0.2282,1.5545
0.2284,1.5545
0.2286,1.5698
0.2288,1.157
0.229,0.07
0.2292,0.21897
0.2294,0.90091
0.2296,1.3558
0.2298,1.5087
0.23,1.4781
0.2302,1.4934
0.2304,1.5392
0.2306,1.5545
0.2308,1.5392
0.231,1.5851
0.2312,1.5698
0.2314,1.5392
0.2316,1.5545
0.2318,1.5545
0.232,1.5545
0.2322,1.5851
0.2324,1.6004
0.2326,1.4934
0.2328,1.4934
0.233,1.5545
0.2332,1.5392
0.2334,1.5545
0.2336,1.5545
0.2338,1.4934
0.234,1.5698
0.2342,1.5851
0.2344,1.5698
0.2346,1.524
0.2348,1.5087
0.235,1.5545
0.2352,1.5698
0.2354,1.5087
0.2356,1.5698
0.2358,1.5545
0.236,1.5545
0.2362,1.5698
0.2364,1.4934
0.2366,1.5545
0.2368,1.524
0.237,1.5545
0.2372,0.47924
0.2374,0.096483
0.2376,0.418
0.2378,1.1723
0.238,1.4475
0.2382,1.4781
0.2384,1.5392
0.2386,1.5087
0.2388,1.5087
0.239,1.5545
0.2392,1.6004
0.2394,1.5851
0.2396,1.5545
0.2398,1.5545
0.24,1.5698
0.2402,1.6004
0.2404,1.5698
0.2406,1.5392
0.2408,1.5545
0.241,1.5851
0.2412,1.6004
0.2414,1.5851
0.2416,1.4934
0.2418,1.5545
0.242,1.6157
0.2422,1.5545
0.2424,1.5392
0.2426,1.5698
0.2428,1.5545
0.243,1.5545
0.2432,1.6004
0.2434,1.5851
0.2436,1.5545
0.2438,1.5392
0.244,1.5392
0.2442,1.6004
0.2444,1.5545
0.2446,1.5545
0.2448,1.524
0.245,1.5545
0.2452,1.5851
0.2454,1.524
0.2456,0.1271
0.2458,0.096483
0.246,0.66236
0.2462,1.2946
0.2464,1.4628
0.2466,1.524
0.2468,1.5698
0.247,1.5392
0.2472,1.6157
0.2474,1.524
0.2476,1.5392
0.2478,1.5698
0.248,1.5392
0.2482,1.524
0.2484,1.5087
0.2486,1.5698
0.2488,1.5392
0.249,1.5698
0.2492,1.5698
0.2494,1.6157
0.2496,1.5545
0.2498,1.5851
0.25,1.5851
0.2502,1.5698
0.2504,1.5851
0.2506,1.5698
0.2508,1.5392
0.251,1.6616
0.2512,1.5545
0.2514,1.5698
0.2516,1.6004
0.2518,1.5851
0.252,1.5851
0.2522,1.5545
0.2524,1.6004
0.2526,1.5698
0.2528,1.5087
0.253,1.5698
0.2532,1.5851
0.2534,1.5392
0.2536,1.5545
0.2538,1.264
0.254,0.082
0.2542,0.23428
0.2544,0.90091
0.2546,1.4169
0.2548,1.4475
0.255,1.5392
0.2552,1.5392
0.2554,1.5698
0.2556,1.5698
0.2558,1.6004
0.256,1.5698
0.2562,1.5545
0.2564,1.524
0.2566,1.5851
0.2568,1.5851
0.257,1.5698
0.2572,1.5392
0.2574,1.5698
0.2576,1.5851
0.2578,1.5851
0.258,1.5698
0.2582,1.524
0.2584,1.5851
0.2586,1.5545
0.2588,1.5545
0.259,1.5392
0.2592,1.5851
0.2594,1.5545
0.2596,1.6004
0.2598,1.6004
0.26,1.5851
0.2602,1.6004
0.2604,1.5392
0.2606,1.524
0.2608,1.5698
0.261,1.5392
0.2612,1.524
0.2614,1.5545
0.2616,1.5392
0.2618,1.5545
0.262,1.6004
0.2622,0.61703
0.2624,0.082
0.2626,0.418
0.2628,1.1264
0.263,1.3864
0.2632,1.5392
0.2634,1.524
0.2636,1.5392
0.2638,1.5698
0.264,1.5545
0.2642,1.5392
0.2644,1.6157
0.2646,1.5698
0.2648,1.5698
0.265,1.5545
0.2652,1.6157
0.2654,1.5545
0.2656,1.5545
0.2658,1.5851
0.266,1.5698
0.2662,1.5698
0.2664,1.5698
0.2666,1.5545
0.2668,1.6004
0.267,1.5851
0.2672,1.5851
0.2674,1.524
0.2676,1.524
0.2678,1.5545
0.268,1.5698
0.2682,1.5545
0.2684,1.5545
0.2686,1.524
0.2688,1.5392
0.269,1.524
0.2692,1.5392
0.2694,1.5698
0.2696,1.5545
0.2698,1.5545
0.27,1.5545
0.2702,1.5392
0.2704,1.5392
0.2706,1.5698
0.2708,1.5392
0.271,1.5392
0.2712,1.5392
0.2714,1.5698
0.2716,1.6004
0.2718,1.5087
0.272,1.5698
0.2722,1.6004
0.2724,1.5392
0.2726,1.5698
0.2728,1.524
0.273,1.5545
0.2732,1.5851
0.2734,1.5392
0.2736,1.5087
0.2738,1.5392
0.274,1.6004
0.2742,1.0202
0.2744,0.082
0.2746,0.2649
0.2748,0.93073
0.275,1.3711
0.2752,1.4781
0.2754,1.524
0.2756,1.5392
0.2758,1.5087
0.276,1.5087
0.2762,1.5698
0.2764,1.5698
0.2766,1.524
0.2768,1.5392
0.277,1.524
0.2772,1.524
0.2774,1.5392
0.2776,1.4934
0.2778,1.524
0.278,1.4934
0.2782,1.5545
0.2784,1.524
0.2786,1.524
0.2788,1.5087
0.279,1.4781
0.2792,1.5087
0.2794,1.4322
0.2796,1.4781
0.2798,1.5392
